Symbol,Name,Sector,Average Absolute Daily Beta Adjusted Return,Average Daily Beta Adjusted Return,Average Daily non-holding Beta Adjusted Return,Std Error of Daily Holding Period Beta Adjusted Return,Std Dev of Daily Holding Period Beta Adjusted Return,Average Daily Beta Adjusted Return of Study Period,Median Daily Beta Adjusted Return,P Value (Beta Adjusted),P Value of Absolute Returns (Beta Adjusted),Std Error of Daily Study Period Beta Adjusted Return,Std Dev of Daily Study Period Beta Adjusted Return,Average Percent Return,Average Absolute Daily Return,Average Daily Return,Average Daily non-holding Return,Trade Period Beta with Benchmark,Number of Trades,Cumulative Percent Return,Std Error of Daily Holding Period Return,Std Dev of Daily Holding Period Return,Event Sensitivity,Best Percent Return,Mean Absolute Percent Return,Average Daily Return of Study Period,Median Percent Return,Median Absolute Percent Return,Median Daily Return,Worst Percent Return,Number of Days Positive,Percent of Days Positive,Percent of Trades Positive,P Value ,P Value of Absolute Returns ,R with S&P 500,Risk Adjusted Sharpe Ratio,Sharpe Ratio,Std Error of Daily Study Period Return,Std Dev of Daily Study Period Return,Study Period Beta with Benchmark,Earliest Data Date,Latest Data Date
FTI,Fmc Technologies,Energy,0.93%,0.01%,0.05%,0.17%,1.18%,0.05%,0.12%,0.82,0.32,0.03%,1.45%,2.37%,1.81%,0.39%,0.06%,1.71,8,20.62%,0.34%,2.37%,0.66,17.60%,4.36%,0.06%,0.66%,1.76%,0.01%,-6.43%,24,50.00%,50.00%,0.67,0.49,0.74,0.09,0.38,0.06%,2.84%,1.38,06/14/2001,08/21/2015
FTR,Frontier Communications Company,Public Utilities,1.27%,-0.43%,0.01%,0.24%,1.63%,0.00%,-0.31%,0.14,0.34,0.05%,2.10%,-0.77%,1.18%,-0.13%,0.00%,0.64,8,-6.02%,0.22%,1.52%,0.21,4.24%,2.02%,0.00%,-0.94%,1.88%,-0.25%,-3.63%,22,45.83%,37.50%,0.51,0.21,0.43,-0.52,-0.19,0.05%,2.16%,0.85,11/27/1990,08/21/2015
GAS,Agl Resources,Public Utilities,0.89%,-0.19%,0.06%,0.15%,1.07%,0.06%,-0.22%,0.18,0.39,0.04%,1.83%,0.40%,0.70%,0.07%,0.04%,0.52,8,3.23%,0.13%,0.87%,0.22,3.39%,2.38%,0.04%,1.25%,2.05%,-0.01%,-5.04%,23,47.92%,62.50%,0.87,0.15,0.61,-0.38,0.17,0.04%,1.57%,0.66,01/03/1990,08/21/2015
GD,General Dynamics Corp.,Capital Goods,0.73%,0.08%,0.03%,0.15%,1.05%,0.03%,0.15%,0.26,0.04,0.03%,1.40%,1.82%,0.96%,0.30%,0.03%,0.99,8,15.49%,0.19%,1.34%,0.30,11.28%,3.35%,0.04%,1.19%,2.26%,0.38%,-3.92%,29,60.42%,62.50%,0.09,0.10,0.76,0.02,0.52,0.04%,1.66%,0.83,01/02/1990,08/21/2015
GE,General Electric Company,Energy,0.52%,-0.09%,-0.01%,0.10%,0.69%,-0.01%,0.04%,0.79,0.19,0.03%,1.23%,1.35%,0.94%,0.22%,-0.01%,0.97,8,11.36%,0.18%,1.26%,0.11,9.87%,3.54%,0.00%,0.82%,3.29%,0.19%,-3.50%,29,60.42%,62.50%,0.31,0.06,0.79,-0.09,0.41,0.05%,2.18%,1.16,01/02/1990,08/21/2015
GGP,General Growth Properties,Consumer Services,1.08%,-0.34%,0.08%,0.25%,1.74%,0.07%,-0.21%,0.07,0.43,0.07%,3.07%,-0.99%,2.24%,-0.16%,-0.03%,0.55,8,-7.62%,0.49%,3.47%,0.38,8.54%,6.07%,-0.03%,0.46%,2.67%,-0.15%,-20.34%,23,47.92%,50.00%,0.94,0.42,0.16,-0.29,-0.11,0.16%,7.30%,2.12,04/08/1993,08/21/2015
GILD,Gilead Sciences,Health Care,1.53%,0.19%,0.13%,0.31%,2.18%,0.13%,-0.10%,0.94,0.40,0.05%,2.27%,2.10%,1.40%,0.35%,0.09%,0.86,8,18.06%,0.26%,1.84%,0.72,13.32%,3.16%,0.10%,-0.08%,1.58%,0.19%,-1.66%,27,56.25%,50.00%,0.56,0.44,0.48,0.06,0.43,0.05%,2.02%,0.75,01/03/1994,08/21/2015
GIS,General Mills,Consumer Non-Durables,1.69%,0.45%,0.08%,0.35%,2.41%,0.09%,0.14%,0.50,0.44,0.05%,2.30%,1.84%,0.81%,0.31%,0.03%,0.24,8,15.70%,0.15%,1.02%,0.79,5.97%,2.33%,0.04%,1.66%,1.66%,0.28%,-1.10%,34,70.83%,62.50%,0.07,0.25,0.24,0.02,0.69,0.03%,1.14%,0.42,01/02/1990,08/21/2015
GLW,Corning Inc.,Basic Industries,1.19%,0.32%,0.00%,0.22%,1.55%,0.01%,0.06%,0.40,0.04,0.03%,1.53%,4.16%,1.62%,0.68%,-0.01%,1.15,8,38.54%,0.30%,2.13%,0.81,15.32%,4.75%,0.01%,1.49%,2.12%,0.18%,-2.23%,27,56.25%,87.50%,0.13,0.35,0.56,0.38,0.74,0.05%,2.42%,1.14,03/04/1986,08/21/2015
GM,General Motors Company,Capital Goods,0.90%,0.21%,-0.05%,0.25%,1.23%,-0.04%,0.20%,0.37,0.21,0.04%,1.10%,5.82%,1.59%,0.95%,-0.02%,1.37,4,25.40%,0.43%,2.10%,0.62,14.04%,5.82%,0.00%,4.58%,4.53%,0.68%,0.63%,17,70.83%,100.00%,0.04,0.36,0.44,0.62,1.47,0.06%,1.98%,1.34,11/18/2010,08/21/2015
GMCR,Green Mountain Coffee Roasters,Consumer Non-Durables,1.73%,0.15%,0.28%,0.33%,2.30%,0.28%,0.05%,0.97,0.05,0.10%,4.36%,2.27%,1.83%,0.37%,0.18%,0.98,8,19.66%,0.33%,2.29%,0.10,7.34%,5.16%,0.19%,4.44%,5.72%,0.42%,-5.99%,30,62.50%,62.50%,0.40,0.17,0.44,0.08,0.38,0.09%,4.24%,0.89,01/03/1994,08/21/2015
GME,Gamestop Corp.,Consumer Services,1.57%,0.34%,0.03%,0.29%,2.03%,0.04%,0.23%,0.44,0.24,0.05%,2.27%,3.88%,1.79%,0.64%,0.01%,0.86,8,35.61%,0.33%,2.29%,0.45,8.49%,4.12%,0.03%,4.95%,4.95%,0.71%,-0.92%,29,60.42%,87.50%,0.08,0.35,0.38,0.32,0.64,0.06%,2.86%,1.05,02/13/2002,08/21/2015
GNW,Genworth Financial Inc,Finance,0.61%,-0.25%,0.03%,0.11%,0.77%,0.02%,-0.36%,0.02,0.39,0.04%,1.67%,0.52%,2.21%,0.09%,-0.05%,2.19,8,4.26%,0.44%,3.08%,0.32,6.24%,2.65%,-0.05%,-0.10%,2.20%,0.18%,-5.10%,25,52.08%,37.50%,1.00,0.30,0.73,-0.14,0.07,0.14%,6.14%,2.71,05/25/2004,08/21/2015
GOOG,Google Inc.,Technology,0.81%,-0.14%,0.05%,0.14%,0.96%,0.05%,-0.17%,0.23,0.45,0.04%,1.62%,0.82%,1.08%,0.14%,0.04%,1.08,8,6.73%,0.20%,1.41%,0.36,9.62%,3.75%,0.05%,0.40%,3.02%,-0.05%,-6.20%,24,50.00%,50.00%,1.00,0.34,0.78,-0.20,0.22,0.04%,1.98%,0.91,08/19/2004,08/21/2015
GOOGL,Google Inc. (Class A),Technology,0.83%,-0.15%,0.05%,0.14%,0.97%,0.05%,-0.17%,0.19,0.39,0.04%,1.62%,0.76%,1.09%,0.13%,0.05%,1.08,8,6.21%,0.20%,1.41%,0.37,9.62%,3.81%,0.05%,0.40%,3.02%,-0.05%,-6.20%,24,50.00%,50.00%,0.95,0.36,0.78,-0.22,0.21,0.04%,1.98%,0.91,08/19/2004,08/21/2015
GPC,Genuine Parts Company,Capital Goods,0.75%,0.19%,0.04%,0.14%,0.96%,0.04%,0.22%,0.33,0.30,0.03%,1.29%,2.30%,1.00%,0.38%,0.04%,1.07,8,19.98%,0.19%,1.31%,0.65,10.67%,3.15%,0.05%,1.85%,2.70%,0.30%,-3.23%,30,62.50%,87.50%,0.11,0.35,0.84,0.13,0.67,0.03%,1.54%,0.79,01/02/1990,08/21/2015
GPS,Gap,Consumer Services,0.94%,0.10%,0.04%,0.19%,1.30%,0.05%,0.05%,0.81,0.12,0.04%,1.78%,2.35%,1.23%,0.39%,0.04%,0.94,8,20.43%,0.23%,1.63%,0.20,11.06%,3.85%,0.05%,2.29%,2.77%,0.19%,-3.13%,26,54.17%,62.50%,0.36,0.08,0.59,0.12,0.55,0.05%,2.31%,1.00,01/02/1990,08/21/2015
GRMN,Garmin Ltd,Capital Goods,1.54%,-0.18%,0.02%,0.29%,2.04%,0.02%,-0.12%,0.52,0.22,0.05%,2.33%,0.49%,1.89%,0.08%,0.01%,1.37,8,3.95%,0.35%,2.46%,0.78,10.00%,5.47%,0.01%,1.04%,5.18%,0.20%,-10.69%,27,56.25%,62.50%,0.68,0.23,0.57,-0.18,0.08,0.06%,2.77%,1.00,12/08/2000,08/21/2015
GS,Goldman Sachs Group,Finance,0.85%,-0.03%,0.00%,0.18%,1.22%,0.00%,0.05%,0.67,0.38,0.03%,1.30%,2.19%,1.57%,0.36%,-0.01%,1.16,8,18.93%,0.30%,2.12%,0.65,7.47%,4.91%,0.00%,3.42%,4.82%,0.29%,-6.19%,27,56.25%,75.00%,0.31,0.44,0.56,0.07,0.39,0.06%,2.79%,1.43,05/04/1999,08/21/2015
GT,Goodyear Tire & Rubber Company,Consumer Durables,0.90%,-0.06%,0.02%,0.17%,1.20%,0.01%,-0.23%,0.38,0.46,0.03%,1.44%,2.16%,2.42%,0.36%,0.00%,2.14,8,18.64%,0.43%,3.01%,0.82,22.09%,5.43%,0.01%,1.60%,3.10%,0.02%,-8.27%,24,50.00%,62.50%,0.71,0.21,0.73,0.05,0.28,0.08%,3.58%,1.75,08/12/1986,08/21/2015
GWW,W.W. Grainger,Consumer Services,0.66%,0.12%,0.07%,0.12%,0.87%,0.07%,0.01%,0.88,0.05,0.03%,1.28%,2.19%,0.85%,0.36%,0.07%,0.94,8,18.95%,0.18%,1.22%,0.06,7.28%,2.44%,0.07%,1.51%,1.51%,0.10%,-0.90%,29,60.42%,75.00%,0.24,0.00,0.79,0.10,0.68,0.04%,1.70%,0.88,01/02/1990,08/21/2015
HAL,Halliburton Company,Energy,0.96%,0.16%,0.03%,0.17%,1.19%,0.03%,-0.04%,0.88,0.28,0.03%,1.36%,3.68%,1.86%,0.60%,0.03%,1.84,8,33.56%,0.35%,2.46%,0.85,23.71%,4.31%,0.04%,1.46%,1.46%,0.19%,-1.21%,25,52.08%,75.00%,0.49,0.43,0.77,0.27,0.57,0.06%,2.77%,1.39,01/02/1990,08/21/2015
HAR,Harman International Industries Inc.,Consumer Non-Durables,1.04%,0.50%,0.01%,0.20%,1.40%,0.02%,0.19%,0.02,0.40,0.05%,2.02%,6.26%,1.93%,1.02%,-0.02%,1.59,8,62.48%,0.35%,2.45%,0.62,25.80%,7.69%,0.00%,3.02%,4.65%,0.82%,-5.21%,33,68.75%,87.50%,0.01,0.39,0.67,0.63,0.96,0.08%,3.39%,1.32,01/02/1990,08/21/2015
HAS,Hasbro,Consumer Non-Durables,1.33%,0.10%,0.05%,0.26%,1.79%,0.05%,0.00%,0.74,0.44,0.04%,1.87%,1.78%,1.27%,0.29%,0.04%,1.11,8,15.16%,0.26%,1.79%,0.66,8.94%,3.15%,0.05%,1.27%,3.02%,0.31%,-2.99%,28,58.33%,50.00%,0.34,0.21,0.64,0.01,0.38,0.04%,1.87%,0.79,01/02/1990,08/21/2015
HBAN,Huntington Bancshares Inc.,Finance,0.87%,-0.13%,0.02%,0.20%,1.42%,0.02%,-0.16%,0.25,0.50,0.05%,2.18%,1.66%,2.04%,0.27%,-0.04%,1.22,8,14.07%,0.41%,2.87%,0.34,12.21%,6.76%,-0.03%,2.77%,4.13%,-0.08%,-15.60%,23,47.92%,75.00%,0.44,0.37,0.44,-0.01,0.22,0.11%,4.89%,1.89,09/08/1992,08/21/2015
HBI,Hanesbrands Inc.,Consumer Services,0.98%,0.16%,0.08%,0.19%,1.28%,0.08%,0.26%,0.28,0.11,0.05%,2.14%,2.99%,1.57%,0.49%,0.07%,1.28,8,26.60%,0.28%,1.95%,0.36,15.06%,4.89%,0.08%,2.86%,3.22%,0.63%,-5.04%,29,60.42%,75.00%,0.12,0.41,0.67,0.21,0.58,0.06%,2.90%,1.12,09/06/2006,08/21/2015
HCA,Hca Holdings Inc. Common Stock,Health Care,1.32%,0.43%,0.08%,0.35%,1.74%,0.09%,0.50%,0.11,0.42,0.07%,2.05%,5.70%,1.42%,0.93%,0.10%,0.10,4,24.82%,0.30%,1.50%,0.27,13.20%,5.70%,0.12%,4.23%,4.20%,0.86%,1.54%,19,79.17%,100.00%,0.01,0.47,0.04,0.76,2.01,0.08%,2.32%,1.01,07/28/2000,08/21/2015
HCBK,Hudson City Bancorp,Finance,0.98%,0.07%,-0.01%,0.21%,1.43%,-0.01%,-0.15%,0.87,0.35,0.03%,1.53%,2.24%,1.38%,0.37%,-0.01%,1.35,8,19.38%,0.30%,2.06%,0.71,11.68%,2.24%,0.00%,0.64%,0.63%,0.26%,0.07%,26,54.17%,100.00%,0.17,0.25,0.67,0.08,0.41,0.05%,2.26%,1.07,07/13/1999,08/21/2015
HCN,Health Care REIT,Consumer Services,0.98%,-0.18%,0.04%,0.19%,1.29%,0.04%,0.01%,0.57,0.28,0.03%,1.47%,0.64%,1.38%,0.11%,0.04%,1.22,8,5.21%,0.26%,1.84%,0.86,7.30%,3.66%,0.04%,0.54%,3.84%,0.41%,-5.88%,30,62.50%,50.00%,0.59,0.20,0.68,-0.20,0.13,0.05%,2.14%,1.04,01/03/1994,08/21/2015
HCP,Hcp,Consumer Services,0.86%,-0.23%,0.03%,0.16%,1.09%,0.02%,-0.04%,0.26,0.27,0.03%,1.35%,0.43%,1.63%,0.07%,0.03%,1.58,8,3.51%,0.33%,2.29%,0.76,10.80%,5.07%,0.03%,0.89%,4.97%,0.03%,-8.01%,24,50.00%,62.50%,0.80,0.40,0.71,-0.20,0.07,0.06%,2.86%,1.45,01/02/1990,08/21/2015
HD,Home Depot,Consumer Services,0.76%,0.13%,0.05%,0.15%,1.02%,0.05%,0.09%,0.43,0.08,0.03%,1.33%,2.41%,1.08%,0.40%,0.05%,0.94,8,20.95%,0.20%,1.37%,0.42,9.88%,2.73%,0.05%,1.60%,1.60%,0.40%,-0.61%,30,62.50%,62.50%,0.06,0.29,0.70,0.14,0.67,0.04%,1.87%,0.95,01/02/1990,08/21/2015
HES,Hess Corp.,Energy,0.84%,-0.01%,0.03%,0.16%,1.08%,0.03%,0.00%,0.74,0.40,0.03%,1.39%,2.38%,1.59%,0.39%,0.03%,1.28,8,20.68%,0.29%,2.04%,0.37,12.43%,3.20%,0.04%,0.46%,1.73%,0.30%,-2.30%,26,54.17%,50.00%,0.47,0.26,0.65,0.10,0.45,0.06%,2.91%,1.45,01/02/1990,08/21/2015
HIG,Hartford Financial Services Group,Finance,0.72%,-0.21%,0.02%,0.15%,1.05%,0.02%,-0.14%,0.34,0.40,0.05%,2.17%,0.66%,2.21%,0.11%,-0.04%,2.42,8,5.41%,0.47%,3.31%,0.58,19.97%,7.39%,-0.04%,2.02%,2.21%,0.30%,-22.82%,27,56.25%,87.50%,0.37,0.38,0.75,-0.12,0.08,0.11%,5.20%,2.00,12/18/1995,08/21/2015
HOG,Harley-Davidson,Consumer Non-Durables,0.77%,-0.26%,0.01%,0.14%,0.94%,0.00%,-0.01%,0.23,0.43,0.03%,1.38%,0.22%,1.52%,0.04%,0.00%,1.39,8,1.75%,0.28%,1.98%,0.32,5.42%,3.24%,0.00%,0.95%,2.61%,0.14%,-7.78%,28,58.33%,62.50%,0.59,0.32,0.72,-0.26,0.04,0.06%,2.87%,1.44,01/02/1990,08/21/2015
HON,Honeywell International Inc.,Capital Goods,0.52%,0.07%,0.03%,0.10%,0.72%,0.03%,-0.04%,0.99,0.06,0.02%,0.98%,2.30%,0.99%,0.38%,0.04%,1.09,8,19.94%,0.20%,1.36%,0.21,11.93%,3.73%,0.05%,1.94%,3.08%,0.19%,-5.04%,28,58.33%,75.00%,0.13,0.05,0.82,0.12,0.64,0.04%,1.86%,1.07,01/02/1990,08/21/2015
HOT,Starwood Hotels & Resorts Worldwide,Consumer Services,0.66%,0.08%,0.01%,0.13%,0.90%,0.01%,-0.06%,0.85,0.22,0.03%,1.16%,3.49%,1.84%,0.57%,0.01%,1.81,8,31.59%,0.33%,2.34%,0.74,18.56%,5.96%,0.02%,3.22%,4.24%,0.52%,-7.20%,25,52.08%,75.00%,0.18,0.30,0.79,0.26,0.57,0.07%,2.98%,1.60,01/04/1988,08/21/2015
HP,Helmerich & Payne,Energy,1.11%,0.34%,0.05%,0.19%,1.35%,0.05%,0.19%,0.22,0.07,0.03%,1.45%,5.52%,1.97%,0.90%,0.05%,1.57,8,53.71%,0.36%,2.55%,0.79,21.93%,5.54%,0.07%,3.84%,3.84%,0.52%,-0.06%,28,58.33%,87.50%,0.14,0.48,0.63,0.51,0.81,0.07%,3.04%,1.48,01/02/1990,08/21/2015
HPQ,Hewlett-Packard Company,Technology,0.78%,0.01%,0.00%,0.15%,1.04%,0.00%,0.06%,0.89,0.03,0.04%,1.86%,1.66%,1.14%,0.27%,-0.01%,1.18,8,14.06%,0.22%,1.53%,0.18,16.76%,3.30%,0.00%,0.45%,1.61%,0.10%,-3.09%,25,52.08%,62.50%,0.61,0.10,0.79,-0.02,0.41,0.05%,2.21%,0.93,01/02/1990,08/21/2015
HRB,H&R Block,Consumer Services,0.86%,0.19%,0.03%,0.18%,1.22%,0.03%,0.16%,0.57,0.02,0.04%,1.93%,2.66%,1.17%,0.44%,0.02%,1.16,8,23.41%,0.23%,1.62%,0.21,12.12%,3.99%,0.03%,1.65%,3.22%,0.27%,-5.02%,27,56.25%,87.50%,0.14,0.05,0.73,0.18,0.62,0.05%,2.25%,0.93,01/02/1990,08/21/2015
HRL,Hormel Foods Corp.,Consumer Non-Durables,1.25%,0.28%,0.12%,0.22%,1.56%,0.12%,0.29%,0.61,0.10,0.06%,2.52%,1.48%,0.71%,0.25%,0.05%,0.62,8,12.50%,0.13%,0.91%,0.21,8.07%,2.22%,0.06%,0.72%,1.41%,0.18%,-1.51%,29,60.42%,62.50%,0.32,0.13,0.70,-0.07,0.62,0.03%,1.26%,0.43,01/03/1994,08/21/2015
HRS,Harris Corp.,Capital Goods,0.82%,0.03%,0.02%,0.15%,1.06%,0.02%,0.10%,0.89,0.46,0.03%,1.53%,1.84%,1.41%,0.30%,0.02%,1.37,8,15.68%,0.24%,1.70%,0.84,8.82%,3.54%,0.03%,1.98%,2.63%,0.50%,-5.13%,29,60.42%,62.50%,0.27,0.10,0.82,0.02,0.41,0.05%,2.08%,0.99,01/02/1990,08/21/2015
HSIC,Henry Schein,Health Care,0.87%,-0.25%,0.05%,0.17%,1.19%,0.05%,-0.20%,0.05,0.19,0.03%,1.40%,0.17%,0.88%,0.03%,0.04%,0.65,8,1.33%,0.16%,1.13%,0.37,7.41%,2.95%,0.04%,-0.37%,2.21%,-0.23%,-3.63%,20,41.67%,50.00%,0.60,0.32,0.59,-0.40,0.06,0.03%,1.54%,0.77,11/03/1995,08/21/2015
HSP,Hospira Inc,Health Care,0.99%,0.24%,0.02%,0.18%,1.27%,0.03%,0.11%,0.41,0.03,0.05%,2.20%,2.14%,0.96%,0.35%,0.01%,0.88,8,18.45%,0.18%,1.23%,0.19,7.38%,3.41%,0.02%,2.49%,2.66%,0.20%,-2.65%,28,58.33%,75.00%,0.18,0.10,0.73,0.09,0.66,0.04%,1.81%,0.68,05/03/2004,08/21/2015
HST,Host Marriott Financial Trust,Consumer Services,0.55%,-0.15%,0.01%,0.11%,0.79%,0.01%,-0.09%,0.52,0.07,0.03%,1.13%,1.50%,1.81%,0.25%,0.00%,1.99,8,12.68%,0.37%,2.61%,0.46,11.70%,6.59%,0.00%,2.83%,4.39%,0.31%,-12.24%,28,58.33%,62.50%,0.31,0.27,0.79,-0.03,0.22,0.08%,3.63%,1.98,09/19/1983,08/21/2015
HSY,Hershey Foods Corp.,Consumer Non-Durables,1.59%,0.00%,0.07%,0.37%,2.56%,0.07%,0.20%,0.42,0.49,0.05%,2.19%,0.89%,1.02%,0.15%,0.04%,0.59,8,7.39%,0.22%,1.54%,0.86,5.36%,2.28%,0.04%,1.20%,2.08%,0.33%,-4.24%,33,68.75%,75.00%,0.09,0.46,0.39,-0.18,0.22,0.03%,1.42%,0.54,01/02/1990,08/21/2015
HUM,Humana Inc.,Health Care,1.33%,-0.22%,0.08%,0.24%,1.69%,0.07%,-0.25%,0.25,0.31,0.06%,2.68%,0.27%,1.29%,0.05%,0.05%,0.85,8,2.20%,0.23%,1.64%,0.25,4.89%,3.91%,0.05%,1.84%,4.09%,0.06%,-8.91%,26,54.17%,62.50%,0.94,0.36,0.53,-0.29,0.06,0.06%,2.55%,0.82,03/29/1982,08/21/2015
IBM,International Business Machines Corp.,Technology,0.77%,0.24%,0.04%,0.14%,0.94%,0.04%,0.34%,0.10,0.41,0.03%,1.34%,2.38%,0.78%,0.39%,0.03%,0.68,8,20.67%,0.14%,0.99%,0.19,6.76%,2.38%,0.04%,1.52%,1.52%,0.26%,0.35%,34,70.83%,100.00%,0.04,0.07,0.71,0.17,0.91,0.03%,1.46%,0.74,01/02/1980,08/21/2015
ICE,Intercontinentalexchange,Finance,0.97%,-0.05%,0.03%,0.20%,1.40%,0.03%,-0.22%,0.25,0.50,0.04%,1.61%,1.99%,1.75%,0.33%,0.02%,1.34,8,17.08%,0.35%,2.48%,0.54,5.99%,3.48%,0.03%,3.03%,4.29%,0.10%,-4.14%,25,52.08%,75.00%,0.55,0.24,0.55,0.03,0.31,0.07%,3.20%,1.48,11/16/2005,08/21/2015
IFF,Internationa Flavors & Fragrances,Basic Industries,0.63%,0.02%,0.04%,0.12%,0.81%,0.04%,0.03%,0.93,0.25,0.03%,1.33%,1.60%,0.86%,0.26%,0.04%,0.84,8,13.54%,0.16%,1.10%,0.20,7.57%,3.17%,0.04%,1.32%,2.66%,0.30%,-2.38%,31,64.58%,50.00%,0.27,0.13,0.78,-0.04,0.55,0.04%,1.68%,0.86,01/02/1990,08/21/2015
INTC,Intel Corp.,Technology,0.93%,-0.02%,0.03%,0.19%,1.34%,0.03%,-0.03%,0.85,0.38,0.03%,1.29%,1.59%,1.30%,0.26%,0.03%,1.10,8,13.41%,0.26%,1.79%,0.76,11.49%,2.19%,0.04%,-0.02%,0.60%,0.25%,-1.13%,27,56.25%,50.00%,0.27,0.38,0.63,-0.03,0.34,0.04%,1.97%,1.01,07/09/1986,08/21/2015
INTU,Intuit Inc.,Technology,0.81%,0.24%,0.05%,0.14%,0.95%,0.06%,0.24%,0.23,0.44,0.04%,1.62%,2.73%,1.11%,0.45%,0.04%,1.04,8,24.04%,0.19%,1.33%,0.54,11.98%,3.49%,0.05%,2.09%,2.57%,0.55%,-2.20%,28,58.33%,62.50%,0.06,0.39,0.80,0.22,0.78,0.04%,1.87%,0.86,01/03/1994,08/21/2015
IP,International Paper Company,Basic Industries,1.01%,0.07%,0.02%,0.21%,1.45%,0.02%,-0.21%,0.51,0.12,0.03%,1.44%,2.95%,1.88%,0.49%,0.02%,1.33,8,26.20%,0.35%,2.44%,0.88,14.23%,4.65%,0.03%,0.55%,2.81%,0.21%,-3.35%,27,56.25%,62.50%,0.36,0.20,0.56,0.17,0.46,0.06%,2.85%,1.40,01/02/1990,08/21/2015
IPG,Interpublic Group Of Companies,Technology,0.81%,0.14%,0.02%,0.15%,1.03%,0.02%,0.01%,0.48,0.47,0.04%,1.57%,3.58%,1.72%,0.59%,0.01%,1.67,8,32.45%,0.32%,2.24%,0.63,15.68%,5.63%,0.02%,2.73%,3.83%,0.38%,-3.72%,30,62.50%,62.50%,0.05,0.43,0.77,0.28,0.61,0.07%,3.00%,1.40,11/20/1987,08/21/2015
IR,Ingersoll-Rand Plc [Ireland],Capital Goods,0.73%,-0.15%,0.02%,0.16%,1.14%,0.02%,-0.07%,0.66,0.13,0.03%,1.28%,1.05%,1.38%,0.17%,0.02%,1.23,8,8.68%,0.28%,1.98%,0.35,8.76%,3.60%,0.03%,1.33%,2.88%,0.50%,-7.47%,28,58.33%,62.50%,0.34,0.14,0.64,-0.12,0.20,0.06%,2.55%,1.31,01/02/1990,08/21/2015
IRM,Iron Mountain Inc.,Consumer Services,1.05%,-0.20%,0.03%,0.19%,1.34%,0.03%,-0.12%,0.36,0.49,0.05%,2.02%,0.43%,1.00%,0.07%,0.02%,0.55,8,3.47%,0.18%,1.23%,0.17,5.06%,2.63%,0.03%,-0.63%,2.52%,0.03%,-3.66%,25,52.08%,37.50%,0.85,0.27,0.46,-0.31,0.13,0.05%,2.11%,0.85,04/26/1999,08/21/2015
ISRG,Intuitive Surgical,Health Care,1.29%,0.10%,0.08%,0.23%,1.57%,0.08%,-0.16%,0.98,0.03,0.05%,2.26%,2.50%,1.78%,0.41%,0.07%,1.28,8,21.86%,0.31%,2.16%,0.70,10.49%,3.28%,0.08%,1.89%,2.51%,0.21%,-2.84%,26,54.17%,75.00%,0.30,0.10,0.61,0.12,0.44,0.06%,2.90%,1.09,06/23/2000,08/21/2015
ITW,Illinois Tool Works Inc.,Technology,0.57%,0.13%,0.03%,0.10%,0.68%,0.03%,0.28%,0.27,0.39,0.02%,1.03%,2.53%,1.00%,0.42%,0.03%,1.18,8,22.16%,0.20%,1.38%,0.37,11.43%,2.99%,0.04%,2.04%,2.04%,0.44%,-1.32%,33,68.75%,75.00%,0.05,0.09,0.87,0.17,0.70,0.04%,1.79%,1.01,01/02/1990,08/21/2015
IVZ,Invesco Plc,Finance,0.55%,0.10%,0.00%,0.10%,0.70%,0.01%,-0.06%,0.60,0.32,0.03%,1.12%,4.36%,1.91%,0.71%,-0.02%,2.05,8,40.72%,0.35%,2.47%,0.71,14.07%,4.59%,0.00%,2.96%,2.96%,0.60%,-0.85%,33,68.75%,87.50%,0.04,0.48,0.85,0.37,0.67,0.08%,3.58%,1.86,03/10/1997,08/21/2015
JBHT,J.B. Hunt Transport Services,Transportation,1.00%,-0.04%,0.07%,0.19%,1.30%,0.06%,-0.23%,0.35,0.42,0.04%,1.57%,1.50%,1.27%,0.25%,0.06%,1.07,8,12.64%,0.25%,1.73%,0.32,8.54%,3.08%,0.07%,0.06%,2.73%,0.01%,-2.75%,24,50.00%,50.00%,0.81,0.13,0.64,-0.05,0.33,0.05%,2.21%,1.03,07/30/1990,08/21/2015
JCI,Johnson Controls,Consumer Durables,0.81%,0.18%,0.02%,0.16%,1.10%,0.02%,0.04%,0.45,0.35,0.03%,1.29%,3.57%,1.63%,0.59%,0.02%,1.55,8,32.38%,0.30%,2.10%,0.76,18.43%,5.32%,0.03%,2.97%,3.30%,0.54%,-3.60%,28,58.33%,75.00%,0.11,0.38,0.76,0.29,0.64,0.06%,2.50%,1.28,01/02/1990,08/21/2015
JEC,Jacobs Engineering Group Inc.,Basic Industries,0.66%,0.05%,0.00%,0.13%,0.88%,0.01%,0.00%,0.98,0.50,0.03%,1.12%,3.11%,1.48%,0.51%,0.00%,1.47,8,27.74%,0.29%,2.03%,0.30,15.91%,3.75%,0.01%,1.74%,1.84%,0.16%,-1.77%,26,54.17%,75.00%,0.27,0.07,0.74,0.22,0.58,0.06%,2.87%,1.56,01/03/1994,08/21/2015
JNJ,Johnson & Johnson,Health Care,0.81%,-0.05%,0.06%,0.14%,0.99%,0.05%,-0.04%,0.71,0.45,0.03%,1.39%,0.78%,0.53%,0.13%,0.04%,0.48,8,6.44%,0.10%,0.71%,0.19,3.03%,1.32%,0.04%,0.65%,1.21%,0.02%,-2.11%,25,52.08%,87.50%,0.45,0.07,0.68,-0.29,0.42,0.02%,1.06%,0.53,01/02/1990,08/21/2015
